iter	Passed	Remaining
0	2	2604
1	7	3712
2	13	4530
3	17	4379
4	21	4240
5	24	4049
6	27	3968
7	32	3995
8	37	4079
9	40	4032
10	44	3985
11	47	3930
12	52	3952
13	56	3958
14	60	3971
15	64	3976
16	68	3933
17	71	3915
18	76	3932
19	80	3926
20	84	3953
21	88	3941
22	92	3924
23	96	3918
24	99	3887
25	104	3914
26	108	3925
27	113	3944
28	117	3947
29	121	3944
30	125	3937
31	129	3926
32	134	3946
33	138	3946
34	142	3927
35	147	3961
36	152	3970
37	156	3962
38	160	3952
39	164	3943
40	168	3937
41	170	3897
42	174	3893
43	178	3875
44	181	3861
45	185	3849
46	189	3843
47	193	3829
48	196	3817
49	200	3809
50	204	3811
51	209	3812
52	212	3798
53	216	3798
54	220	3792
55	225	3801
56	229	3793
57	234	3805
58	238	3803
59	241	3791
60	245	3784
61	249	3770
62	252	3762
63	256	3753
64	259	3734
65	262	3716
66	266	3711
67	270	3709
68	274	3703
69	278	3694
70	281	3687
71	285	3677
72	289	3671
73	293	3667
74	296	3659
75	300	3658
76	305	3661
77	308	3650
78	313	3651
79	317	3646
80	321	3650
81	325	3643
82	329	3637
83	332	3630
84	336	3620
85	340	3620
86	344	3617
87	348	3616
88	352	3611
89	357	3613
90	361	3606
91	364	3600
92	368	3597
93	372	3590
94	375	3580
95	379	3573
96	384	3576
97	387	3568
98	390	3551
99	394	3548
100	397	3537
101	400	3529
102	405	3527
103	408	3518
104	413	3526
105	417	3523
106	422	3522
107	426	3518
108	429	3512
109	433	3508
110	438	3508
111	442	3507
112	446	3506
113	449	3495
114	452	3481
115	455	3472
116	459	3466
117	463	3462
118	466	3455
119	471	3459
120	476	3461
121	480	3456
122	484	3451
123	488	3450
124	492	3449
125	496	3445
126	501	3450
127	505	3445
128	510	3445
129	514	3440
130	517	3435
131	521	3429
132	525	3423
133	528	3418
134	534	3421
135	538	3422
136	542	3416
137	546	3411
138	550	3410
139	553	3399
140	558	3400
141	562	3399
142	567	3398
143	570	3392
144	574	3390
145	577	3377
146	581	3372
147	585	3367
148	588	3360
149	592	3359
150	596	3355
151	600	3351
152	605	3350
153	610	3352
154	614	3350
155	618	3348
156	623	3347
157	628	3347
158	632	3346
159	636	3341
160	640	3337
161	644	3333
162	648	3330
163	652	3326
164	656	3321
165	661	3322
166	666	3322
167	669	3316
168	673	3313
169	677	3307
170	681	3303
171	685	3301
172	689	3294
173	692	3288
174	697	3286
175	701	3284
176	705	3278
177	708	3272
178	712	3267
179	716	3265
180	720	3260
181	724	3255
182	726	3245
183	730	3239
184	734	3235
185	736	3221
186	740	3219
187	743	3209
188	746	3205
189	750	3199
190	754	3193
191	758	3191
192	762	3186
193	766	3185
194	770	3179
195	774	3178
196	779	3176
197	782	3168
198	784	3155
199	788	3155
200	790	3144
201	794	3138
202	800	3144
203	804	3139
204	808	3134
205	812	3131
206	816	3126
207	819	3121
208	824	3121
209	828	3118
210	832	3113
211	836	3110
212	840	3106
213	844	3100
214	848	3098
215	852	3095
216	857	3092
217	862	3092
218	866	3089
219	872	3091
220	876	3090
221	880	3086
222	884	3081
223	889	3082
224	893	3078
225	897	3075
226	901	3070
227	905	3065
228	909	3063
229	914	3061
230	918	3059
231	922	3054
232	926	3050
233	931	3049
234	934	3043
235	938	3038
236	943	3038
237	948	3038
238	952	3032
239	956	3028
240	960	3025
241	965	3023
242	969	3021
243	973	3017
244	977	3012
245	981	3008
246	985	3004
247	989	3001
248	993	2995
249	996	2990
250	999	2983
251	1003	2977
252	1008	2976
253	1011	2971
254	1015	2966
255	1019	2963
256	1024	2961
257	1028	2959
258	1033	2955
259	1037	2951
260	1040	2946
261	1043	2940
262	1047	2935
263	1051	2930
264	1055	2927
265	1060	2925
266	1065	2924
267	1069	2920
268	1072	2915
269	1076	2911
270	1081	2910
271	1085	2906
272	1090	2903
273	1093	2898
274	1097	2892
275	1100	2888
276	1105	2885
277	1109	2880
278	1113	2876
279	1117	2874
280	1121	2869
281	1126	2867
282	1129	2861
283	1133	2856
284	1136	2851
285	1140	2847
286	1145	2844
287	1149	2842
288	1154	2839
289	1158	2835
290	1161	2831
291	1165	2826
292	1169	2821
293	1173	2816
294	1176	2812
295	1180	2808
296	1184	2804
297	1189	2801
298	1193	2797
299	1197	2794
300	1201	2791
301	1206	2787
302	1209	2783
303	1213	2778
304	1218	2776
305	1222	2773
306	1227	2770
307	1230	2765
308	1234	2761
309	1238	2755
310	1241	2751
311	1247	2750
312	1251	2747
313	1257	2747
314	1261	2742
315	1265	2740
316	1269	2735
317	1273	2731
318	1276	2726
319	1280	2721
320	1284	2717
321	1288	2712
322	1293	2710
323	1296	2705
324	1300	2700
325	1304	2696
326	1309	2694
327	1313	2690
328	1316	2685
329	1320	2681
330	1324	2676
331	1329	2675
332	1335	2674
333	1339	2671
334	1344	2668
335	1348	2665
336	1353	2662
337	1357	2659
338	1362	2656
339	1366	2651
340	1369	2647
341	1374	2644
342	1377	2639
343	1381	2635
344	1385	2631
345	1389	2626
346	1392	2621
347	1396	2616
348	1400	2612
349	1403	2607
350	1407	2602
351	1411	2599
352	1415	2594
353	1419	2589
354	1422	2585
355	1427	2581
356	1431	2578
357	1435	2573
358	1439	2570
359	1443	2565
360	1447	2561
361	1450	2556
362	1455	2553
363	1459	2550
364	1463	2545
365	1466	2540
366	1470	2537
367	1474	2532
368	1478	2527
369	1482	2524
370	1487	2522
371	1492	2519
372	1496	2515
373	1500	2512
374	1506	2510
375	1510	2507
376	1515	2503
377	1519	2500
378	1523	2496
379	1527	2492
380	1531	2488
381	1536	2484
382	1539	2480
383	1543	2476
384	1547	2472
385	1551	2468
386	1555	2464
387	1559	2460
388	1563	2456
389	1567	2452
390	1573	2450
391	1577	2446
392	1581	2443
393	1585	2438
394	1589	2434
395	1593	2429
396	1596	2424
397	1601	2421
398	1604	2417
399	1609	2413
400	1612	2409
401	1616	2404
402	1619	2399
403	1624	2396
404	1628	2392
405	1632	2388
406	1636	2384
407	1640	2380
408	1645	2377
409	1649	2374
410	1654	2370
411	1657	2366
412	1661	2361
413	1664	2356
414	1668	2352
415	1672	2348
416	1677	2345
417	1682	2341
418	1686	2337
419	1690	2333
420	1694	2330
421	1699	2327
422	1703	2323
423	1707	2319
424	1711	2315
425	1715	2311
426	1720	2308
427	1724	2304
428	1728	2300
429	1733	2298
430	1737	2294
431	1741	2290
432	1746	2286
433	1750	2282
434	1755	2279
435	1759	2276
436	1763	2271
437	1767	2267
438	1770	2262
439	1774	2259
440	1778	2254
441	1782	2250
442	1785	2245
443	1794	2246
444	1798	2243
445	1802	2239
446	1806	2235
447	1810	2230
448	1814	2227
449	1819	2223
450	1824	2220
451	1828	2216
452	1832	2212
453	1835	2207
454	1839	2203
455	1842	2198
456	1847	2195
457	1851	2191
458	1855	2187
459	1859	2183
460	1863	2179
461	1868	2175
462	1872	2171
463	1875	2166
464	1879	2162
465	1884	2159
466	1888	2155
467	1893	2152
468	1898	2149
469	1902	2145
470	1906	2141
471	1910	2137
472	1914	2133
473	1918	2129
474	1922	2124
475	1926	2120
476	1931	2118
477	1935	2113
478	1939	2109
479	1943	2105
480	1947	2101
481	1951	2096
482	1955	2093
483	1959	2088
484	1963	2085
485	1967	2081
486	1971	2076
487	1975	2072
488	1979	2068
489	1983	2064
490	1988	2061
491	1993	2057
492	1997	2053
493	2000	2049
494	2004	2045
495	2010	2043
496	2014	2039
497	2018	2034
498	2021	2030
499	2026	2026
500	2029	2021
501	2033	2017
502	2037	2013
503	2042	2009
504	2045	2005
505	2049	2000
506	2052	1995
507	2056	1991
508	2060	1987
509	2064	1983
510	2068	1979
511	2072	1975
512	2076	1971
513	2080	1967
514	2084	1962
515	2088	1958
516	2092	1954
517	2096	1950
518	2100	1946
519	2104	1942
520	2107	1938
521	2111	1933
522	2116	1930
523	2120	1925
524	2125	1922
525	2128	1918
526	2132	1913
527	2135	1908
528	2139	1904
529	2143	1900
530	2146	1896
531	2150	1891
532	2154	1887
533	2157	1883
534	2161	1878
535	2165	1874
536	2168	1870
537	2172	1865
538	2177	1862
539	2180	1857
540	2185	1854
541	2189	1850
542	2193	1846
543	2198	1842
544	2201	1838
545	2205	1834
546	2209	1829
547	2213	1825
548	2217	1821
549	2221	1817
550	2225	1813
551	2229	1809
552	2233	1805
553	2236	1800
554	2240	1796
555	2245	1792
556	2249	1788
557	2253	1785
558	2256	1780
559	2260	1776
560	2265	1772
561	2269	1768
562	2273	1764
563	2276	1760
564	2280	1755
565	2284	1751
566	2287	1746
567	2290	1742
568	2294	1738
569	2298	1733
570	2302	1729
571	2306	1725
572	2310	1721
573	2313	1717
574	2317	1713
575	2321	1709
576	2325	1705
577	2330	1701
578	2335	1697
579	2338	1693
580	2342	1689
581	2345	1684
582	2350	1681
583	2354	1677
584	2359	1673
585	2362	1669
586	2366	1665
587	2370	1660
588	2374	1656
589	2377	1652
590	2381	1647
591	2384	1643
592	2389	1639
593	2393	1635
594	2396	1631
595	2400	1627
596	2404	1623
597	2409	1619
598	2414	1616
599	2418	1612
600	2422	1607
601	2427	1604
602	2430	1600
603	2434	1596
604	2439	1592
605	2443	1588
606	2447	1584
607	2452	1581
608	2457	1577
609	2461	1573
610	2465	1569
611	2470	1565
612	2474	1562
613	2479	1558
614	2483	1554
615	2488	1551
616	2492	1547
617	2496	1543
618	2501	1539
619	2506	1536
620	2510	1532
621	2514	1528
622	2518	1524
623	2523	1520
624	2527	1516
625	2531	1512
626	2535	1508
627	2539	1504
628	2543	1500
629	2547	1496
630	2551	1492
631	2555	1488
632	2560	1484
633	2564	1480
634	2569	1476
635	2573	1472
636	2577	1468
637	2580	1464
638	2585	1460
639	2589	1456
640	2593	1452
641	2598	1448
642	2601	1444
643	2605	1440
644	2609	1436
645	2613	1432
646	2617	1427
647	2621	1424
648	2626	1420
649	2630	1416
650	2634	1412
651	2638	1408
652	2642	1404
653	2646	1400
654	2649	1395
655	2655	1392
656	2659	1388
657	2663	1384
658	2668	1380
659	2672	1376
660	2676	1372
661	2681	1368
662	2685	1364
663	2688	1360
664	2692	1356
665	2696	1352
666	2700	1348
667	2704	1344
668	2708	1340
669	2712	1335
670	2715	1331
671	2720	1327
672	2724	1323
673	2729	1320
674	2734	1316
675	2737	1312
676	2741	1308
677	2745	1303
678	2750	1300
679	2755	1296
680	2760	1293
681	2764	1289
682	2769	1285
683	2772	1280
684	2776	1276
685	2781	1273
686	2785	1268
687	2789	1264
688	2793	1260
689	2796	1256
690	2800	1252
691	2804	1248
692	2808	1244
693	2812	1239
694	2817	1236
695	2822	1232
696	2827	1229
697	2832	1225
698	2837	1222
699	2841	1217
700	2845	1213
701	2849	1209
702	2854	1205
703	2858	1201
704	2862	1197
705	2866	1193
706	2870	1189
707	2874	1185
708	2878	1181
709	2882	1177
710	2886	1173
711	2890	1169
712	2894	1165
713	2898	1161
714	2903	1157
715	2907	1153
716	2911	1149
717	2916	1145
718	2920	1141
719	2926	1137
720	2929	1133
721	2934	1129
722	2938	1125
723	2942	1121
724	2946	1117
725	2951	1113
726	2955	1109
727	2959	1105
728	2963	1101
729	2967	1097
730	2970	1093
731	2974	1089
732	2978	1084
733	2981	1080
734	2985	1076
735	2988	1072
736	2992	1067
737	2996	1063
738	3000	1059
739	3005	1055
740	3008	1051
741	3012	1047
742	3016	1043
743	3021	1039
744	3025	1035
745	3029	1031
746	3033	1027
747	3039	1024
748	3043	1019
749	3047	1015
750	3050	1011
751	3054	1007
752	3058	1003
753	3062	999
754	3067	995
755	3070	991
756	3075	987
757	3079	983
758	3084	979
759	3088	975
760	3093	971
761	3097	967
762	3101	963
763	3104	959
764	3108	954
765	3111	950
766	3115	946
767	3120	942
768	3123	938
769	3127	934
770	3131	930
771	3135	926
772	3139	921
773	3143	917
774	3146	913
775	3150	909
776	3154	905
777	3158	901
778	3162	897
779	3165	892
780	3170	888
781	3174	884
782	3177	880
783	3181	876
784	3185	872
785	3188	868
786	3191	863
787	3196	860
788	3201	856
789	3205	852
790	3209	848
791	3214	844
792	3218	840
793	3222	836
794	3226	831
795	3230	827
796	3235	824
797	3239	819
798	3243	815
799	3247	811
800	3252	807
801	3255	803
802	3260	799
803	3265	796
804	3269	791
805	3273	787
806	3277	783
807	3282	780
808	3287	776
809	3292	772
810	3296	768
811	3300	764
812	3303	759
813	3308	755
814	3312	751
815	3317	748
816	3321	743
817	3325	739
818	3330	736
819	3334	731
820	3338	727
821	3344	724
822	3348	720
823	3351	715
824	3355	711
825	3359	707
826	3362	703
827	3366	699
828	3369	694
829	3373	690
830	3376	686
831	3381	682
832	3384	678
833	3388	674
834	3394	670
835	3398	666
836	3403	662
837	3407	658
838	3411	654
839	3415	650
840	3419	646
841	3424	642
842	3427	638
843	3431	634
844	3435	630
845	3439	626
846	3443	621
847	3447	617
848	3450	613
849	3455	609
850	3458	605
851	3463	601
852	3466	597
853	3470	593
854	3474	589
855	3477	585
856	3481	580
857	3486	577
858	3490	572
859	3495	568
860	3499	564
861	3503	560
862	3507	556
863	3510	552
864	3514	548
865	3519	544
866	3523	540
867	3526	536
868	3530	532
869	3534	528
870	3538	524
871	3542	520
872	3546	515
873	3550	511
874	3555	507
875	3559	503
876	3564	499
877	3568	495
878	3573	491
879	3577	487
880	3581	483
881	3585	479
882	3589	475
883	3593	471
884	3597	467
885	3601	463
886	3605	459
887	3610	455
888	3613	451
889	3617	447
890	3622	443
891	3626	439
892	3630	435
893	3634	430
894	3638	426
895	3642	422
896	3646	418
897	3650	414
898	3654	410
899	3659	406
900	3664	402
901	3667	398
902	3671	394
903	3675	390
904	3679	386
905	3683	382
906	3688	378
907	3692	374
908	3696	370
909	3699	365
910	3704	361
911	3707	357
912	3712	353
913	3716	349
914	3720	345
915	3724	341
916	3728	337
917	3732	333
918	3736	329
919	3741	325
920	3745	321
921	3749	317
922	3753	313
923	3757	309
924	3762	305
925	3766	300
926	3770	296
927	3774	292
928	3778	288
929	3782	284
930	3786	280
931	3790	276
932	3795	272
933	3799	268
934	3803	264
935	3808	260
936	3811	256
937	3816	252
938	3820	248
939	3824	244
940	3830	240
941	3834	236
942	3838	232
943	3842	227
944	3845	223
945	3850	219
946	3853	215
947	3857	211
948	3862	207
949	3866	203
950	3870	199
951	3874	195
952	3878	191
953	3883	187
954	3887	183
955	3891	179
956	3896	175
957	3900	170
958	3904	166
959	3907	162
960	3912	158
961	3916	154
962	3920	150
963	3924	146
964	3928	142
965	3933	138
966	3938	134
967	3942	130
968	3946	126
969	3950	122
970	3954	118
971	3959	114
972	3963	109
973	3969	105
974	3973	101
975	3976	97
976	3980	93
977	3984	89
978	3988	85
979	3992	81
980	3995	77
981	3999	73
982	4004	69
983	4009	65
984	4013	61
985	4018	57
986	4022	52
987	4025	48
988	4030	44
989	4035	40
990	4040	36
991	4044	32
992	4049	28
993	4053	24
994	4057	20
995	4062	16
996	4066	12
997	4070	8
998	4074	4
999	4077	0
