feature,importance
venue_wpct_diff,0.3568079
power_rating_diff,0.11001895
off_rating_diff,0.10620406
def_rating_diff,0.09987202
home_team_home_wpct,0.031152636
away_team_away_wpct,0.030825336
sos_diff,0.02627133
fs_win_pct10_diff,0.019462721
combined_home_adv,0.016397892
fs_win_pct5_diff,0.015573355
away_rest_days,0.014990636
away_team_venue_consistency,0.014246619
rest_advantage,0.0136454115
home_rest_days,0.013328895
fs_point_diff10_diff,0.0131827695
away_sos,0.012780196
away_momentum,0.012437026
home_sos,0.012401142
home_momentum,0.0123540005
fs_point_diff5_diff,0.0122879045
momentum_diff,0.011744102
fs_recent_strength_index5_diff,0.0117081525
fs_win_pct_last5_vs10_diff,0.011334273
away_team_away_margin,0.010532863
fs_point_diff_last5_vs10_diff,0.010439804
