game_id,game_day,game_status,home_team,away_team,home_score,away_score,home_record,away_record,home_rank,away_rank,home_point_spread,is_neutral,season,date,game_url
401255010,2020-11-25,Final,Marquette,Arkansas-Pine Bluff,99,57,,,,,,0,2020-21,,
401264461,2020-11-25,Final,Oregon State,California,71,63,,,,,,0,2020-21,,
401262106,2020-11-25,Final,San Diego State,UCLA,73,58,,,,,,0,2020-21,,
401258893,2020-11-25,Final,Chicago State,Ohio,61,84,,,,,,1,2020-21,,
401258866,2020-11-25,Final,Clemson,Mississippi State,53,42,,,,,,1,2020-21,,
401256739,2020-11-25,Final,Colorado,South Dakota,84,61,,,,,,1,2020-21,,
401261572,2020-11-25,Final,Southern Methodist,Sam Houston State,97,67,,,,,,0,2020-21,,
401260358,2020-11-25,Final,Davidson,High Point,82,73,,,,,,0,2020-21,,
401259563,2020-11-25,Final,Rutgers,Sacred Heart,86,63,,,,,,0,2020-21,,
401260341,2020-11-25,Final,Wake Forest,Delaware State,111,51,,,,,,0,2020-21,,
401259540,2020-11-25,Final,Virginia Tech,Radford,77,62,,,,,,0,2020-21,,
401254049,2020-11-25,Final,Kansas State,Drake,70,80,,,,,,0,2020-21,,
401260050,2020-11-25,Final,Butler,Western Michigan,66,62,,,,,,0,2020-21,,
401257483,2020-11-25,Final,Bradley,Toledo,61,59,,,,,,1,2020-21,,
401254696,2020-11-25,Final,UAB,Alcorn State,99,50,,,,,,0,2020-21,,
401259878,2020-11-25,Final,South Carolina State,Appalachian St,61,81,,,,,,0,2020-21,,
401259241,2020-11-25,Final,UNC Wilmington,Western Carolina,76,98,,,,,,1,2020-21,,
401265033,2020-11-25,Final,Arizona State,Rhode Island,94,88,,,,,,1,2020-21,,
401258842,2020-11-25,Final,Arkansas,Mississippi Valley State,142,62,,,,,,0,2020-21,,
401262492,2020-11-25,Final,Northern Kentucky,Ball State,74,73,,,,,,0,2020-21,,
401255645,2020-11-25,Final,Towson,Virginia,54,89,,,,,,1,2020-21,,
401254076,2020-11-25,Final,Texas,UT Rio Grande Valley,91,55,,,,,,0,2020-21,,
401263275,2020-11-25,Final,Washington State,Texas Southern,56,52,,,,,,0,2020-21,,
401260006,2020-11-25,Final,Boston College,Villanova,67,76,,,,,,1,2020-21,,
401262142,2020-11-25,Final,Michigan,Bowling Green,96,82,,,,,,0,2020-21,,
401259032,2020-11-25,Final,Wisconsin,Eastern Illinois,77,67,,,,,,0,2020-21,,
401262416,2020-11-25,Final,Eastern Kentucky,North Florida,80,67,,,,,,1,2020-21,,
401260377,2020-11-25,Final,Pepperdine,UC Irvine,86,72,,,,,,1,2020-21,,
401259285,2020-11-25,Final,Santa Clara,Idaho State,62,49,,,,,,0,2020-21,,
401264524,2020-11-25,Final,Nevada,North Dakota State,62,48,,,,,,1,2020-21,,
401263457,2020-11-25,Final,Ohio State,Illinois State,94,67,,,,,,0,2020-21,,
401259028,2020-11-25,Final,Indiana,Tennessee Tech,89,59,,,,,,0,2020-21,,
401257607,2020-11-25,Final,Morgan State,Mount St. Mary's,55,62,,,,,,0,2020-21,,
401257055,2020-11-25,Final,Houston,Lamar,89,45,,,,,,0,2020-21,,
401262682,2020-11-25,Final,UNLV,Montana State,78,91,,,,,,0,2020-21,,
401258862,2020-11-25,Final,Missouri,Oral Roberts,91,64,,,,,,0,2020-21,,
401259897,2020-11-25,Final,Liberty,Purdue,64,77,,,,,,1,2020-21,,
401261646,2020-11-25,Final,Loyola Marymount,Southern Utah,85,83,,,,,,0,2020-21,,
401259300,2020-11-25,Final,Maryland,Old Dominion,85,67,,,,,,0,2020-21,,
401255047,2020-11-25,Final,Memphis,Saint Mary's,73,56,,,,,,1,2020-21,,
401258857,2020-11-25,Final,Kentucky,Morehead State,81,45,,,,,,0,2020-21,,
401258841,2020-11-25,Final,Alabama,Jacksonville State,81,57,,,,,,0,2020-21,,
401263445,2020-11-25,Final,Michigan State,Eastern Michigan,83,67,,,,,,0,2020-21,,
401257632,2020-11-25,Final,Pacific,UC Riverside,66,60,,,,,,0,2020-21,,
401257660,2020-11-25,Final,Louisville,Evansville,79,44,,,,,,0,2020-21,,
401261657,2020-11-25,Final,South Alabama,Florida Atlantic,68,66,,,,,,0,2020-21,,
401259553,2020-11-25,Final,Florida Gulf Coast,Florida A&M,65,56,,,,,,0,2020-21,,
401262064,2020-11-25,Final,Quinnipiac,Fairleigh Dickinson,84,66,,,,,,0,2020-21,,
401255066,2020-11-25,Final,Providence,Fairfield,97,56,,,,,,0,2020-21,,
401258906,2020-11-25,Final,UT Arlington,Oklahoma State,68,75,,,,,,0,2020-21,,
401261505,2020-11-25,Final,Nicholls State,UC Davis,101,93,,,,,,1,2020-21,,
401261518,2020-11-25,Final,Purdue Fort Wayne,Southeastern Louisiana,67,63,,,,,,0,2020-21,,
401259772,2020-11-25,Final,Navy,George Washington,78,71,,,,,,0,2020-21,,
401254080,2020-11-25,Final,Northern Iowa,Western Kentucky,87,93,,,,,,1,2020-21,,
401262097,2020-11-25,Final,Grand Canyon,Grambling State,69,53,,,,,,0,2020-21,,
401257482,2020-11-25,Final,Xavier,Oakland,101,49,,,,,,0,2020-21,,
401265034,2020-11-25,Final,Utah State,Virginia Commonwealth,69,85,,,,,,1,2020-21,,
401265650,2020-11-25,Final,Portland,Seattle,72,84,,,,,,0,2020-21,,
401258999,2020-11-25,Final,Abilene Christian,East Tennessee State,70,47,,,,,,1,2020-21,,
401260002,2020-11-26,Final,Auburn,Saint Joseph's,96,91,,,,,,1,2020-21,,
401259847,2020-11-26,Final,Liberty,Mississippi State,84,73,,,,,,1,2020-21,,
401262372,2020-11-26,Final,Illinois,Chicago State,97,38,,,,,,0,2020-21,,
401261634,2020-11-26,Final,Brigham Young,New Orleans,86,61,,,,,,0,2020-21,,
401259996,2020-11-26,Final,Austin Peay,East Tennessee State,67,66,,,,,,1,2020-21,,
401256506,2020-11-26,Final,Northern Iowa,Saint Mary's,64,66,,,,,,1,2020-21,,
401257485,2020-11-26,Final,Oakland,Toledo,53,80,,,,,,1,2020-21,,
401259243,2020-11-26,Final,Belmont,Howard,95,78,,,,,,1,2020-21,,
401260009,2020-11-26,Final,Boston College,Rhode Island,69,64,,,,,,1,2020-21,,
401259846,2020-11-26,Final,Clemson,Purdue,81,70,,,,,,1,2020-21,,
401263598,2020-11-26,Final,Nebraska,Nevada,66,69,,,,,,0,2020-21,,
401260001,2020-11-26,Final,Gonzaga,Kansas,102,90,,,,,,1,2020-21,,
401256505,2020-11-26,Final,Virginia Commonwealth,West Virginia,66,78,,,,,,1,2020-21,,
401260008,2020-11-26,Final,Arizona State,Villanova,74,83,,,,,,1,2020-21,,
401256504,2020-11-26,Final,Memphis,Western Kentucky,69,75,,,,,,1,2020-21,,
401255038,2020-11-26,Final,St. John's,La Salle,82,65,,,,,,0,2020-21,,
401257484,2020-11-26,Final,Xavier,Bradley,51,50,,,,,,0,2020-21,,
401265733,2020-11-27,Final,Army,Central Connecticut,79,57,,,,,,1,2020-21,,
401259546,2020-11-27,Final,Florida Atlantic,Jacksonville State,50,60,,,,,,1,2020-21,,
401262280,2020-11-27,Final,Maryland,Navy,82,52,,,,,,0,2020-21,,
401257663,2020-11-27,Final,Louisville,Seton Hall,71,70,,,,,,0,2020-21,,
401259559,2020-11-27,Final,Texas Tech,Sam Houston State,84,52,,,,,,0,2020-21,,
401261483,2020-11-27,Final,Incarnate Word,Rice,53,68,,,,,,0,2020-21,,
401255049,2020-11-27,Final,Louisiana Tech,UT Arlington,76,71,,,,,,0,2020-21,,
401260378,2020-11-27,Final,Pepperdine,UCLA,98,107,,,,,,1,2020-21,,
401262136,2020-11-27,Final,Rutgers,Fairleigh Dickinson,96,75,,,,,,0,2020-21,,
401260004,2020-11-27,Final,Kansas,Saint Joseph's,94,72,,,,,,1,2020-21,,
401262442,2020-11-27,Final,Santa Clara,UC Davis,66,63,,,,,,0,2020-21,,
401259244,2020-11-27,Final,Belmont,George Mason,77,67,,,,,,1,2020-21,,
401254050,2020-11-27,Final,Kansas State,Colorado,58,76,,,,,,0,2020-21,,
401259999,2020-11-27,Final,East Tennessee State,Middle Tennessee,57,43,,,,,,1,2020-21,,
401263459,2020-11-27,Final,Wisconsin,Arkansas-Pine Bluff,92,58,,,,,,0,2020-21,,
401259320,2020-11-27,Final,Morehead State,Richmond,64,82,,,,,,1,2020-21,,
401255011,2020-11-27,Final,Marquette,Eastern Illinois,75,50,,,,,,0,2020-21,,
401257474,2020-11-27,Final,UNC Asheville,UNC Wilmington,68,76,,,,,,0,2020-21,,
401257486,2020-11-27,Final,Xavier,Toledo,76,73,,,,,,0,2020-21,,
401262098,2020-11-27,Final,Arizona,Grambling State,74,55,,,,,,0,2020-21,,
401262673,2020-11-27,Final,San Diego State,UC Irvine,77,58,,,,,,0,2020-21,,
401256510,2020-11-27,Final,Saint Mary's,South Dakota State,72,59,,,,,,1,2020-21,,
401260000,2020-11-27,Final,Abilene Christian,Austin Peay,80,72,,,,,,1,2020-21,,
401262373,2020-11-27,Final,Illinois,Ohio,77,75,,,,,,0,2020-21,,
401259037,2020-11-27,Final,Marshall,Arkansas State,70,56,,,,,,0,2020-21,,
401264636,2020-11-27,Final,Connecticut,Hartford,69,57,,,,,,0,2020-21,,
401256511,2020-11-27,Final,Northern Iowa,Utah State,71,82,,,,,,1,2020-21,,
401260343,2020-11-27,Final,Wake Forest,Longwood,71,60,,,,,,0,2020-21,,
401262287,2020-11-27,Final,Charleston Southern,Eastern Kentucky,50,60,,,,,,1,2020-21,,
401257487,2020-11-27,Final,Bradley,Oakland,74,60,,,,,,1,2020-21,,
401257664,2020-11-27,Final,Evansville,Prairie View A&M,61,64,,,,,,1,2020-21,,
401261569,2020-11-27,Final,Houston,Boise State,68,58,,,,,,0,2020-21,,
401263442,2020-11-27,Final,Iowa,Southern,103,76,,,,,,0,2020-21,,
401256509,2020-11-27,Final,Memphis,Virginia Commonwealth,59,70,,,,,,1,2020-21,,
401261576,2020-11-27,Final,Tulane,Lamar,66,57,,,,,,0,2020-21,,
401257569,2020-11-27,Final,James Madison,Norfolk State,73,83,,,,,,0,2020-21,,
401265035,2020-11-27,Final,Buffalo,Towson,74,65,,,,,,1,2020-21,,
401256073,2020-11-27,Final,Drake,South Dakota,69,53,,,,,,1,2020-21,,
401262991,2020-11-27,Final,Vanderbilt,Valparaiso,77,71,,,,,,0,2020-21,,
401260003,2020-11-27,Final,Auburn,Gonzaga,67,90,,,,,,1,2020-21,,
401265773,2020-11-27,Final,Charlotte,East Carolina,57,66,,,,,,0,2020-21,,
401261506,2020-11-27,Final,Idaho State,Nicholls State,51,70,,,,,,1,2020-21,,
401261564,2020-11-27,Final,Syracuse,Bryant,85,84,,,,,,0,2020-21,,
401257473,2020-11-27,Final,Troy,Western Carolina,66,64,,,,,,1,2020-21,,
401263599,2020-11-28,Final,Nebraska,North Dakota State,79,57,,,,,,0,2020-21,,
401254697,2020-11-28,Final,UAB,Southeastern Louisiana,84,59,,,,,,0,2020-21,,
401261648,2020-11-28,Final,Minnesota,Loyola Marymount,88,73,,,,,,0,2020-21,,
401256512,2020-11-28,Final,Liberty,South Carolina,78,62,,,,,,1,2020-21,,
401262692,2020-11-28,Final,Oklahoma State,Texas Southern,85,65,,,,,,0,2020-21,,
401253909,2020-11-28,Final,Texas Christian,Tulsa,70,65,,,,,,1,2020-21,,
401262376,2020-11-28,Final,Lamar,Lipscomb,73,76,,,,,,1,2020-21,,
401257476,2020-11-28,Final,UNC Asheville,Western Carolina,81,83,,,,,,0,2020-21,,
401259287,2020-11-28,Final,Idaho State,UC Davis,61,70,,,,,,1,2020-21,,
401257475,2020-11-28,Final,Troy,UNC Wilmington,50,73,,,,,,1,2020-21,,
401261563,2020-11-28,Final,Pittsburgh,Drexel,83,74,,,,,,0,2020-21,,
401259247,2020-11-28,Final,George Mason,Howard,84,70,,,,,,1,2020-21,,
401253497,2020-11-28,Final,Texas A&M-Corpus Christi,Texas State,63,75,,,,,,0,2020-21,,
401257596,2020-11-28,Final,Army,Buffalo,78,74,,,,,,1,2020-21,,
401265457,2020-11-28,Final,Jacksonville,Southern Miss,66,51,,,,,,0,2020-21,,
401259835,2020-11-28,Final,Duke,Coppin State,81,71,,,,,,0,2020-21,,
401254109,2020-11-28,Final,Old Dominion,William & Mary,86,78,,,,,,0,2020-21,,
401258843,2020-11-28,Final,Arkansas,North Texas,69,54,,,,,,0,2020-21,,
401265777,2020-11-28,Final,Baylor,Louisiana,112,82,,,,,,1,2020-21,,
401262974,2020-11-28,Final,USC,Montana,76,62,,,,,,0,2020-21,,
401255593,2020-11-28,Final,Villanova,Virginia Tech,73,81,,,,,,1,2020-21,,
401262143,2020-11-28,Final,Bowling Green,South Carolina State,101,78,,,,,,0,2020-21,,
401265874,2020-11-28,Final,UIC,Central Michigan,74,72,,,,,,0,2020-21,,
401260037,2020-11-28,Final,Michigan State,Notre Dame,80,70,,,,,,0,2020-21,,
401261742,2020-11-28,Final,Penn State,VMI,86,65,,,,,,0,2020-21,,
401262907,2020-11-28,Final,Washington State,Eastern Washington,71,68,,,,,,0,2020-21,,
401258708,2020-11-28,Final,UT Rio Grande Valley,UTSA,81,64,,,,,,0,2020-21,,
