database_name,espn_id,canonical_name,display_name,match_confidence,game_count,conference
Maryland-Eastern Shore,2379,MD Eastern,Maryland Terrapins,100,14,Unknown
Coppin State,2154,Coppin St,Coppin State Eagles,100,13,Unknown
Princeton,163,Princeton,Princeton Tigers,100,13,Unknown
IU Indianapolis,85,IU Indy,IU Indianapolis Jaguars,100,12,Unknown
Purdue Fort Wayne,2870,Purdue FW,Purdue Fort Wayne Mastodons,100,12,Unknown
Bucknell,2083,Bucknell,Bucknell Bison,100,12,Unknown
Yale,43,Yale,Yale Bulldogs,100,12,Unknown
Gardner-Webb Runnin',2241,Gardner-Webb,Gardner-Webb Runnin' Bulldogs,80,12,Unknown
South Dakota State Jackrabbits,2571,S Dakota St,South Dakota State Jackrabbits,100,12,Unknown
St. Thomas-Minnesota Tommies,2900,St Thomas (MN),St. Thomas-Minnesota Tommies,100,12,Unknown
VMI,2678,VMI,VMI Keydets,100,12,Unknown
Presbyterian,2506,Presbyterian,Presbyterian Blue Hose,100,12,Unknown
Texas State,326,Texas St,Texas State Bobcats,100,12,Unknown
Georgia Southern,290,GA Southern,Georgia Southern Eagles,100,12,Unknown
Brown,225,Brown,Brown Bears,100,12,Unknown
Green Bay,2739,Green Bay,Green Bay Phoenix,100,12,Unknown
Omaha,2437,Omaha,Omaha Mavericks,100,12,Unknown
Charleston Southern,2127,Charleston So,Charleston Southern Buccaneers,100,12,Unknown
North Carolina Central,2428,NC Central,North Carolina Central Eagles,100,12,Unknown
Merrimack,2771,Merrimack,Merrimack Warriors,100,12,Unknown
Missouri,142,Missouri,Missouri Tigers,100,11,Unknown
Holy Cross,107,Holy Cross,Holy Cross Crusaders,100,11,Unknown
Navy,2426,Navy,Navy Midshipmen,100,11,Unknown
Air Force,2005,Air Force,Air Force Falcons,100,11,Unknown
American University,44,American,American University Eagles,100,11,Unknown
Cleveland State,325,Cleveland St,Cleveland State Vikings,100,11,Unknown
North Dakota State,2449,N Dakota St,North Dakota State Bison,100,11,Unknown
South Carolina Upstate,2908,SC Upstate,South Carolina Upstate Spartans,100,11,Unknown
Oral Roberts,198,Oral Roberts,Oral Roberts Golden Eagles,100,11,Unknown
Robert Morris,2523,Robert Morris,Robert Morris Colonials,100,11,Unknown
Hawai'i Rainbow,62,Hawai’i,Hawai'i Rainbow Warriors,60,11,Unknown
South Dakota,233,South Dakota,South Dakota Coyotes,100,11,Unknown
UMass Lowell River,113,UMass,Massachusetts Minutemen,80,11,Unknown
Idaho State Bengals,304,Idaho St,Idaho State Bengals,100,11,Unknown
William & Mary,2729,William & Mary,William & Mary Tribe,100,11,Unknown
Cal State Fullerton,2239,Fullerton,Cal State Fullerton Titans,100,11,Unknown
Montana,149,Montana,Montana Grizzlies,100,11,Unknown
Providence,2507,Providence,Providence Friars,100,11,Unknown
East Tennessee State,2193,ETSU,East Tennessee State Buccaneers,100,11,Unknown
Vermont,261,Vermont,Vermont Catamounts,100,11,Unknown
Radford,2515,Radford,Radford Highlanders,100,11,Unknown
Norfolk State,2450,Norfolk St,Norfolk State Spartans,100,11,Unknown
Xavier,2752,Xavier,Xavier Musketeers,100,11,Unknown
Harvard,108,Harvard,Harvard Crimson,100,11,Unknown
Howard,47,Howard,Howard Bison,100,11,Unknown
Lehigh Mountain,2329,Lehigh,Lehigh Mountain Hawks,80,11,Unknown
Colgate,2142,Colgate,Colgate Raiders,100,11,Unknown
Boston College,103,Boston College,Boston College Eagles,100,11,Unknown
Boston University,104,Boston U,Boston University Terriers,100,11,Unknown
New Orleans,2443,New Orleans,New Orleans Privateers,100,11,Unknown
Samford,2535,Samford,Samford Bulldogs,100,11,Unknown
Utah Tech,3101,Utah Tech,Utah Tech Trailblazers,100,11,Unknown
