label,conference,role,games,accuracy,pick_rate,win_rate,avg_team_probability
tuned,ACC,away,1199,0.6005004170141784,0.22935779816513763,0.38198498748957466,0.4509459070762951
tuned,ACC,home,1733,0.6710905943450663,0.7888055395268321,0.6757068667051356,0.5464908340247149
tuned,American,away,985,0.5756345177664974,0.2923857868020305,0.4121827411167513,0.466333821997883
tuned,American,home,1216,0.6208881578947368,0.7508223684210527,0.6595394736842105,0.5426476293242362
tuned,Atlantic 10,away,1005,0.6199004975124378,0.23184079601990049,0.4009950248756219,0.46199906799887075
tuned,Atlantic 10,home,1373,0.6904588492352512,0.8004369992716679,0.6758922068463219,0.5465628331078497
tuned,Big 12,away,1051,0.615604186489058,0.28068506184586106,0.4291151284490961,0.46152992250017155
tuned,Big 12,home,1656,0.6986714975845411,0.7669082125603864,0.7445652173913043,0.5655901852031056
tuned,Big East,away,798,0.606516290726817,0.3483709273182957,0.43107769423558895,0.4776841983461199
tuned,Big East,home,1025,0.6760975609756098,0.744390243902439,0.6858536585365854,0.551336244733269
tuned,Big Ten,away,1283,0.603273577552611,0.31644583008573657,0.4325798908807482,0.476768382906991
tuned,Big Ten,home,1736,0.6872119815668203,0.7995391705069125,0.7217741935483871,0.5562623235589419
tuned,Conference USA,away,756,0.6283068783068783,0.19576719576719576,0.40343915343915343,0.45162156611245163
tuned,Conference USA,home,855,0.6912280701754386,0.8409356725146199,0.7146198830409357,0.5681190777712823
tuned,Mountain West,away,778,0.6118251928020566,0.39331619537275064,0.4267352185089974,0.4848641586230394
tuned,Mountain West,home,1005,0.6696517412935323,0.681592039800995,0.681592039800995,0.5329626253656967
tuned,Other,away,20290,0.6714637752587481,0.22188270083785117,0.30744208969935927,0.4457796230387361
tuned,Other,home,16778,0.6305280724758613,0.7455000596018596,0.626832757182024,0.5446653894500659
tuned,SEC,away,1068,0.5955056179775281,0.3464419475655431,0.4250936329588015,0.46719526414217505
tuned,SEC,home,1618,0.6878862793572311,0.7472187886279357,0.7255871446229913,0.555276394756707
tuned,West Coast,away,690,0.6782608695652174,0.3695652173913043,0.40144927536231884,0.4752674168257393
tuned,West Coast,home,908,0.6927312775330396,0.6894273127753304,0.6640969162995595,0.5367034362653255
