season,team_id,games_played,rolling_win_pct_5,rolling_win_pct_10,rolling_point_diff_avg_5,rolling_point_diff_avg_10,updated_at,win_pct_last5_vs10,point_diff_last5_vs10,recent_strength_index_5
2020-21,name_008aa1d9dbbd,10,0.6,0.7,0.6,1.9,2025-11-30T19:26:47.710979+00:00,-0.09999999999999998,-1.2999999999999998,0.36
2020-21,name_00a08cd2a295,32,0.8,0.8,5.8,9.7,2025-11-30T19:26:47.711024+00:00,0.0,-3.8999999999999995,4.64
2020-21,name_01b1f321d97c,23,0.6,0.5,-0.4,-2.4,2025-11-30T19:26:47.711053+00:00,0.09999999999999998,2.0,-0.24
2020-21,name_02cbe59d7acb,22,0.2,0.4,-0.8,1.5,2025-11-30T19:26:47.711078+00:00,-0.2,-2.3,-0.16000000000000003
2020-21,name_04128dccff31,26,0.6,0.5,7.6,5.7,2025-11-30T19:26:47.711102+00:00,0.09999999999999998,1.8999999999999995,4.56
2020-21,name_044fad0313f4,24,0.4,0.6,18.2,31.0,2025-11-30T19:26:47.711125+00:00,-0.19999999999999996,-12.8,7.28
2020-21,name_04945d27ff97,1,,,,,2025-11-30T19:26:47.711150+00:00,,,
2020-21,name_0500ec1f04a1,1,,,,,2025-11-30T19:26:47.711168+00:00,,,
2020-21,name_05a15fd2e157,16,0.4,0.5,-2.4,1.2,2025-11-30T19:26:47.711192+00:00,-0.09999999999999998,-3.5999999999999996,-0.96
2020-21,name_066c7e4d4a0f,25,0.6,0.4,-2.4,-5.1,2025-11-30T19:26:47.711217+00:00,0.19999999999999996,2.6999999999999997,-1.44
2020-21,name_06e5127dcf4a,1,,,,,2025-11-30T19:26:47.711235+00:00,,,
2020-21,name_0709b24f4e16,26,0.2,0.4,-11.6,-4.7,2025-11-30T19:26:47.711259+00:00,-0.2,-6.8999999999999995,-2.32
2020-21,name_07267b9fd698,20,0.4,0.4,1.6,-1.0,2025-11-30T19:26:47.711283+00:00,0.0,2.6,0.6400000000000001
2020-21,name_07ab019491aa,12,0.4,0.6,-1.4,3.2,2025-11-30T19:26:47.711307+00:00,-0.19999999999999996,-4.6,-0.5599999999999999
2020-21,name_081b29009f32,2,,,,,2025-11-30T19:26:47.711325+00:00,,,
2020-21,name_088a1970ff05,1,,,,,2025-11-30T19:26:47.711344+00:00,,,
2020-21,name_090ddc0b86e9,2,,,,,2025-11-30T19:26:47.711360+00:00,,,
2020-21,name_09b63f280b11,29,0.4,0.5,-0.8,0.6,2025-11-30T19:26:47.711382+00:00,-0.09999999999999998,-1.4,-0.32000000000000006
2020-21,name_0a92e9e0dd0b,19,0.6,0.5,1.2,1.3,2025-11-24T20:28:17.825894+00:00,0.0999999999999999,-0.1,0.72
2020-21,name_0b50061589b3,6,0.0,,-36.6,,2025-11-30T19:26:47.711424+00:00,,,-0.0
2020-21,name_0b50dd7e1b37,22,0.4,0.4,-0.2,-2.8,2025-11-30T19:26:47.711445+00:00,0.0,2.5999999999999996,-0.08000000000000002
2020-21,name_0bf2da4d0d21,3,,,,,2025-11-30T19:26:47.711461+00:00,,,
2020-21,name_0c13677416c4,24,0.6,0.3,0.6,-9.2,2025-11-30T19:26:47.711482+00:00,0.3,9.799999999999999,0.36
2020-21,name_0c2ef98dbbf1,20,0.6,0.5,1.8,-3.7,2025-11-30T19:26:47.711505+00:00,0.09999999999999998,5.5,1.08
2020-21,name_0c4247072bc7,1,,,,,2025-11-30T19:26:47.711521+00:00,,,
2020-21,name_0c75faea7a47,26,0.6,0.6,18.2,11.8,2025-11-30T19:26:47.711548+00:00,0.0,6.399999999999999,10.92
2020-21,name_0cab3c410d5f,29,0.4,0.5,2.6,3.4,2025-11-30T19:26:47.711572+00:00,-0.09999999999999998,-0.7999999999999998,1.04
2020-21,name_0de60b55a31b,29,0.6,0.7,3.8,9.9,2025-11-30T19:26:47.711596+00:00,-0.09999999999999998,-6.1000000000000005,2.28
2020-21,name_0e04ef1ff0c0,1,,,,,2025-11-30T19:26:47.711613+00:00,,,
2020-21,name_0e12ddac8a35,2,,,,,2025-11-30T19:26:47.711630+00:00,,,
2020-21,name_0f8607da53a1,15,0.6,0.8,3.0,6.7,2025-11-30T19:26:47.711653+00:00,-0.20000000000000007,-3.7,1.7999999999999998
2020-21,name_1002918baeef,2,,,,,2025-11-30T19:26:47.711670+00:00,,,
2020-21,name_1183c16f5ae6,1,,,,,2025-11-30T19:26:47.711687+00:00,,,
2020-21,name_1217947f2fd9,23,0.6,0.5,6.8,1.4,2025-11-30T19:26:47.711710+00:00,0.09999999999999998,5.4,4.08
2020-21,name_1219db110621,20,0.6,0.5,-0.4,-1.1,2025-11-30T19:26:47.711734+00:00,0.09999999999999998,0.7000000000000001,-0.24
2020-21,name_12b5f16daad9,30,0.8,0.7,6.2,4.8,2025-11-24T20:28:17.826222+00:00,0.1,1.4000000000000004,4.960000000000001
2020-21,name_13f7bd0f8db7,28,0.2,0.4,-2.4,0.9,2025-11-30T19:26:47.711781+00:00,-0.2,-3.3,-0.48
2020-21,name_1436b5d7ed57,19,0.4,0.5,-3.6,3.4,2025-11-30T19:26:47.711804+00:00,-0.09999999999999998,-7.0,-1.4400000000000002
2020-21,name_1471c8f2086d,23,0.2,0.4,-10.2,1.0,2025-11-30T19:26:47.711827+00:00,-0.2,-11.2,-2.04
2020-21,name_15a7feab6a8b,1,,,,,2025-11-30T19:26:47.711844+00:00,,,
2020-21,name_161101f122a5,24,0.8,0.6,3.8,1.9,2025-11-30T19:26:47.711865+00:00,0.20000000000000007,1.9,3.04
2020-21,name_16726d3adf15,31,0.6,0.6,-5.0,3.0,2025-11-30T19:26:47.711886+00:00,0.0,-8.0,-3.0
2020-21,name_16fa0c442eb2,17,0.6,0.6,14.6,4.9,2025-11-30T19:26:47.711908+00:00,0.0,9.7,8.76
2020-21,name_1728e4a2a496,14,0.6,0.6,0.8,2.3,2025-11-30T19:26:47.711929+00:00,0.0,-1.4999999999999998,0.48
2020-21,name_176d322627c6,1,,,,,2025-11-30T19:26:47.711944+00:00,,,
2020-21,name_176e04d05d3c,18,0.4,0.4,-5.4,-2.5,2025-11-30T19:26:47.711964+00:00,0.0,-2.9000000000000004,-2.16
2020-21,name_196df0da87ac,3,,,,,2025-11-30T19:26:47.711979+00:00,,,
2020-21,name_1a2e5c6ba146,25,0.2,0.2,-19.8,-13.2,2025-11-30T19:26:47.712002+00:00,0.0,-6.600000000000001,-3.9600000000000004
2020-21,name_1ad3a0afbf81,18,0.4,0.6,1.6,3.0,2025-11-30T19:26:47.712025+00:00,-0.19999999999999996,-1.4,0.6400000000000001
2020-21,name_1b0a5403e516,27,0.6,0.3,-0.4,-9.1,2025-11-30T19:26:47.712049+00:00,0.3,8.7,-0.24
2020-21,name_1b7f084150d0,20,0.8,0.6,6.0,-0.8,2025-11-30T19:26:47.712072+00:00,0.20000000000000007,6.8,4.800000000000001
2020-21,name_1c0f005e4209,26,0.8,0.6,19.0,17.8,2025-11-30T19:26:47.712095+00:00,0.20000000000000007,1.1999999999999993,15.200000000000001
2020-21,name_1c1dba070798,25,0.8,0.8,16.2,13.3,2025-11-30T19:26:47.712118+00:00,0.0,2.8999999999999986,12.96
2020-21,name_1c95718d8824,2,,,,,2025-11-30T19:26:47.712135+00:00,,,
2020-21,name_1db11168820f,25,0.8,0.8,19.6,17.6,2025-11-30T19:26:47.712158+00:00,0.0,2.0,15.680000000000001
2020-21,name_1f02f57cb21a,25,0.6,0.6,-1.4,0.7,2025-11-30T19:26:47.712181+00:00,0.0,-2.0999999999999996,-0.84
2020-21,name_1f24cea80c3e,16,0.2,0.5,-4.0,2.0,2025-11-30T19:26:47.712204+00:00,-0.3,-6.0,-0.8
2020-21,name_2153466677ad,28,0.8,0.8,7.6,9.7,2025-11-30T19:26:47.712228+00:00,0.0,-2.0999999999999996,6.08
2020-21,name_216a2cbccf4d,1,,,,,2025-11-30T19:26:47.712245+00:00,,,
2020-21,name_217102c28bc2,19,0.2,0.4,-8.2,-2.9,2025-11-30T19:26:47.712267+00:00,-0.2,-5.299999999999999,-1.64
2020-21,name_2183d03f57eb,2,,,,,2025-11-30T19:26:47.712284+00:00,,,
2020-21,name_234aaf0dd206,23,0.4,0.3,14.0,5.6,2025-11-30T19:26:47.712306+00:00,0.10000000000000003,8.4,5.6000000000000005
2020-21,name_235ade961268,23,0.0,0.3,-19.6,-1.3,2025-11-30T19:26:47.712330+00:00,-0.3,-18.3,-0.0
2020-21,name_23a38208a06f,17,0.2,0.1,-3.8,-8.2,2025-11-30T19:26:47.712352+00:00,0.1,4.3999999999999995,-0.76
2020-21,name_23a61892a604,27,0.8,0.9,6.4,6.6,2025-11-30T19:26:47.712373+00:00,-0.09999999999999998,-0.1999999999999993,5.120000000000001
2020-21,name_23d33b51fa47,21,0.6,0.6,2.6,2.4,2025-11-30T19:26:47.712393+00:00,0.0,0.20000000000000018,1.56
2020-21,name_24f7387fbabf,6,0.0,,-24.8,,2025-11-30T19:26:47.712412+00:00,,,-0.0
2020-21,name_255f9ae74265,26,0.8,0.7,18.4,9.5,2025-11-30T19:26:47.712434+00:00,0.10000000000000009,8.899999999999999,14.719999999999999
2020-21,name_259851c0fc8b,6,0.4,,-2.0,,2025-11-30T19:26:47.712452+00:00,,,-0.8
2020-21,name_25cb84141c06,25,0.6,0.7,6.2,11.6,2025-11-30T19:26:47.712473+00:00,-0.09999999999999998,-5.3999999999999995,3.7199999999999998
2020-21,name_261ae22b4b91,24,0.6,0.7,10.8,12.0,2025-11-30T19:26:47.712495+00:00,-0.09999999999999998,-1.1999999999999993,6.48
2020-21,name_27ecde6337bb,30,0.4,0.6,-2.4,2.4,2025-11-30T19:26:47.712518+00:00,-0.19999999999999996,-4.8,-0.96
2020-21,name_28b0067cab48,2,,,,,2025-11-30T19:26:47.712535+00:00,,,
2020-21,name_2a24fc055e79,17,0.4,0.5,-3.0,3.6,2025-11-30T19:26:47.712557+00:00,-0.09999999999999998,-6.6,-1.2000000000000002
2020-21,name_2a6200482943,23,0.6,0.7,-9.0,-1.6,2025-11-30T19:26:47.712580+00:00,-0.09999999999999998,-7.4,-5.3999999999999995
2020-21,name_2b8fe362f411,24,0.4,0.6,0.4,3.2,2025-11-30T19:26:47.712604+00:00,-0.19999999999999996,-2.8000000000000003,0.16000000000000003
2020-21,name_2c4e6c63208f,10,0.6,0.7,10.4,11.4,2025-11-30T19:26:47.712627+00:00,-0.09999999999999998,-1.0,6.24
2020-21,name_2c6d680f5c57,5,0.4,,3.2,,2025-11-30T19:26:47.712648+00:00,,,1.2800000000000002
2020-21,name_2c8ac1a61f97,19,0.4,0.3,-5.0,-3.2,2025-11-30T19:26:47.712671+00:00,0.10000000000000003,-1.7999999999999998,-2.0
2020-21,name_2d04c3173b05,29,0.8,0.9,7.4,15.6,2025-11-30T19:26:47.712693+00:00,-0.09999999999999998,-8.2,5.920000000000001
2020-21,name_2d2c2a1400d9,3,,,,,2025-11-30T19:26:47.712710+00:00,,,
2020-21,name_2d5b448d7feb,1,,,,,2025-11-30T19:26:47.712735+00:00,,,
2020-21,name_2dc0cadd3d82,24,0.4,0.5,2.8,4.9,2025-11-30T19:26:47.712758+00:00,-0.09999999999999998,-2.1000000000000005,1.1199999999999999
2020-21,name_2ddd996af1a0,24,0.4,0.4,18.0,14.2,2025-11-24T20:28:17.827116+00:00,0.0,3.8000000000000007,7.2
