# Extra (Non-Canonical D1 / Exhibition / Other Level) Teams
# Generated: 2025-11-05
# Distinct extras: 993
# Format: Team Name,Total Game Appearances (home+away combined)
# These teams are present in the normalized dataset but not in the 2024-25 D1 canonical list.
# Use this file to audit for misnamed or truncated Division I schools worth aliasing.

# --- Flagged Potential Misnamed/Truncated D1 Candidates (Review Carefully) ---
# NOTE: Do NOT blindly map; some are legitimate separate institutions (e.g., Northern Arizona).
# South Carolina Upstate -> (Canon should include USC Upstate if desired)
# St. Francis PA -> St. Francis (PA)
# Mcneese -> McNeese
# Miami OH -> Miami (OH)
# N Arizona -> Northern Arizona (if missing)
# North Carolina A&T -> North Carolina A&T (distinct D1)
# Northwestern St -> Northwestern State
# N Colorado -> Northern Colorado (distinct D1)
# Mt St Mary's -> Mount St. Mary's
# South Dakota St -> South Dakota State
# Saint Joe's -> Saint Joseph's
# N Illinois -> Northern Illinois
# St John's -> St. John's
# Tennessee St -> Tennessee State
# St Bonaventure -> St. Bonaventure
# W Illinois -> Western Illinois
# W Kentucky -> Western Kentucky
# Youngstown St -> Youngstown State
# Morgan St -> Morgan State
# W Michigan -> Western Michigan
# Washington St -> Washington State
# Mount St. Mary -> Mount St. Mary's
# Saint Mary's MN -> (Non-D1, ignore)
# Northern State / Northeastern State / Bowie State / etc. are non-D1 but fuzzy-close to D1 names.

# --- Full Extra Team List ---
NC State,164
Ole Miss,162
San Francisco,162
LSU,161
Georgia Tech,158
UTEP,158
Utah Valley,158
Omaha,156
Charleston,155
North Dakota,155
Little Rock,153
Green Bay,152
Hampton,152
UMass Lowell,152
UL Monroe,151
CSU Bakersfield,149
Merrimack,149
UMBC,149
Cal Baptist,146
Saint Peter's,140
CSU Fullerton,138
NJIT,138
CSU Northridge,137
Cent Conn St,136
Boston U,126
South Carolina Upstate,120
St. Francis PA,115
Mcneese,114
IUPUI,111
Kansas City,109
Lindenwood,97
Southern Indiana,95
SIU Edwardsville,93
Miami OH,87
Houston Baptist,83
North Carolina Central,82
N Arizona,79
North Carolina A&T,78
St. Thomas - Minnesota,77
Pennsylvania,76
SE Missouri St,75
Northwestern St,74
MD-E Shore,72
NC A&T,72
N Colorado,70
SF Austin,70
Texas A&M-Commerce,70
Mt St Mary's,68
SIUE,66
Houston Christian,63
Le Moyne,62
Pitt,62
South Dakota St,60
Miss Valley St,59
NC Central,58
UCSB,57
Tenn Tech,54
St. Thomas-Minnesota,53
PV A&M,49
Saint Joe's,48
UNCG,45
Long Island University,43
N Illinois,43
St John's,43
Bethesda,40
Carver College,39
St. Francis BKN,36
IU Indianapolis,33
Mercyhurst,33
S Carolina St,32
West Georgia,32
Tennessee St,31
St Bonaventure,30
USC Upstate,30
UT Rio Grande,29
East Texas A&M,28
UNC,26
St Francis (BKN),24
W Carolina,24
Dallas Christian,22
Virginia-Lynchburg,21
Champion Christian College,20
UM Kansas City,20
St. Andrews,19
St. Francis Brooklyn,19
Toccoa Falls,19
UNH,19
UVA,19
Life Pacific,17
URI,17
Cal State Northridge,15
Columbia International,15
Our Lady of the Lake,15
W Illinois,15
Northern New Mexico,14
W Kentucky,14
Youngstown St,14
Champion Christian,13
Kentucky Christian,13
Morgan St,13
Paul Quinn,13
St Peter's,13
St. Katherine,13
Defiance,12
Regent University,12
W Michigan,12
Arlington Baptist,11
East-West University,11
Howard Payne,11
Mid-Atlantic Christian,11
Northwest University,11
San Diego Christian,11
St. Mary's MD,11
Washington St,11
Arkansas Baptist,10
Benedictine AZ,10
California Baptist,10
Carolina University,10
College Of Biblical Studies,10
Florida National,10
Midway University,10
Northwest Indian,10
Fresno Pacific,9
Jarvis Christian,9
La Verne,9
Le Tourneau,9
McMurry,9
Milligan,9
Mobile,9
Piedmont,9
Stanislaus State,9
Trinity Baptist,9
William Carey,9
Boyce,8
Brescia,8
Cal State Fullerton,8
Fisk,8
Loyola New Orleans,8
Mount Olive,8
NC Wesleyan,8
North Greenville,8
Oakwood,8
Occidental,8
Point Park,8
